type,mcc,mnc,lac,cid,colonne6,long,lat,Colonne9,Colonne10,Colonne11,Colonne12,Colonne13,Colonne14
GSM,372,1,2000,11320,0,-72.292442,18.575715,1000,52,1344534615,1344534615,1344534615,0
GSM,372,1,2000,10582,0,-72.290725708008,18.575820922852,1000,1,1344533219,1344533219,1344533219,0
GSM,372,1,2000,10351,0,-72.293472290039,18.575820922852,1000,1,1344534491,1344534491,1344534491,0
GSM,372,1,2000,10350,0,-72.295532,18.575821,1000,8,1344534563,1344534563,1344534563,0
GSM,372,1,2000,10022,0,-72.300338745117,18.574447631836,1000,3,1344534632,1344534632,1344534632,0
GSM,372,1,2000,10352,0,-72.301025,18.573074,1000,12,1344534696,1344534696,1344534696,0
GSM,372,1,2000,11292,0,-72.301025,18.571243,1000,6,1344534726,1344534726,1344534726,0
GSM,372,1,2000,11290,0,-72.301275,18.568767,1000,22,1344534860,1344534860,1344534860,0
GSM,372,1,2000,11690,0,-72.299946,18.564311,1000,21,1344534976,1344534976,1344534976,0
GSM,372,1,2000,10881,0,-72.301712,18.561058,1000,4,1344535014,1344535014,1344535014,0
GSM,372,1,2300,11700,0,-72.302261,18.559067,1000,10,1344535066,1344535066,1344535066,0
GSM,372,1,2300,11702,0,-72.304802,18.553891,1000,32,1344535306,1344535306,1344535306,0
GSM,372,1,2300,11590,0,-72.307549,18.549728,1000,4,1344535451,1344535451,1344535451,0
GSM,372,1,2300,33250,0,-72.308029,18.549728,1000,5,1344535428,1344535428,1344535428,0
GSM,372,1,2300,10281,0,-72.308578491211,18.549728393555,1000,3,1344535445,1344535445,1344535445,0
GSM,372,1,2300,10282,0,-72.315445,18.547325,1000,4,1344535615,1344535615,1344535615,0
GSM,372,1,2300,11592,0,-72.31517,18.546432,1000,5,1344535643,1344535643,1344535643,0
GSM,372,1,2300,11591,0,-72.314827,18.544373,1000,20,1344535764,1344535764,1344535764,0
GSM,372,1,2300,11611,0,-72.316132,18.542862,1000,4,1344535782,1344535782,1344535782,0
GSM,372,1,2300,11610,0,-72.317368,18.541351,1000,10,1344535846,1344535846,1344535846,0
GSM,372,1,2300,10492,0,-72.31819152832,18.541488647461,1000,2,1344535835,1344535835,1344535835,0
GSM,372,1,2300,33252,0,-72.318466,18.539566,1000,5,1344535872,1344535872,1344535872,0
GSM,372,1,2400,10540,0,-72.318976,18.537094,1000,35,1345449745,1345449745,1345449745,0
GSM,372,1,2200,10680,0,-72.319329,18.537712,1000,64,1345666598,1345666598,1345666598,0
GSM,372,1,2200,10682,0,-72.325912,18.53993,1000,37,1345709184,1345709184,1345709184,0
GSM,372,1,2200,33220,0,-72.330878,18.540769,1000,21,1344803156,1344803156,1344803156,0
GSM,372,1,2200,10420,0,-72.333077,18.539233,1000,56,1345709120,1345709120,1345709120,0
GSM,372,1,2200,11300,0,-72.332923,18.534705,1000,66,1345498142,1345498142,1345498142,0
GSM,372,1,2200,11301,0,-72.333108,18.53287,1000,29,1345236162,1345236162,1345236162,0
GSM,372,1,2200,11302,0,-72.33281,18.53316,1473,248,1345708810,1345708810,1345708810,0
GSM,372,1,2200,10421,0,-72.336411,18.535629,1000,15,1344952441,1344952441,1344952441,0
GSM,372,1,2200,10422,0,-72.336044,18.538055,1000,6,1344590662,1344590662,1344590662,0
GSM,372,1,2200,10641,0,-72.332647,18.53773,1249,19,1345470920,1345470920,1345470920,0
GSM,372,1,2200,33222,0,-72.333038,18.539522,1000,37,1344803253,1344803253,1344803253,0
GSM,372,1,2200,33221,0,-72.330399,18.536148,1000,9,1344590893,1344590893,1344590893,0
GSM,372,1,2200,10612,0,-72.326824,18.532632,1000,49,1345236275,1345236275,1345236275,0
GSM,372,1,2200,10611,0,-72.32453,18.535742,1000,65,1345497967,1345497967,1345497967,0
GSM,372,1,2200,10681,0,-72.323644,18.535586,1000,67,1345497909,1345497909,1345497909,0
GSM,372,1,2400,10541,0,-72.319276,18.534225,1000,38,1345497878,1345497878,1345497878,0
GSM,372,1,2400,33192,0,-72.315819,18.53275,1000,11,1344802992,1344802992,1344802992,0
GSM,372,1,2400,33191,0,-72.312568,18.531025,1000,21,1344802968,1344802968,1344802968,0
GSM,372,1,2400,10232,0,-72.307496,18.524302,1000,33,1345494577,1345494577,1345494577,0
GSM,372,1,2400,10231,0,-72.307978,18.524623,1000,32,1345497774,1345497774,1345497774,0
GSM,372,1,2400,10922,0,-72.30569,18.519374,1000,29,1345497686,1345497686,1345497686,0
GSM,372,1,2400,10921,0,-72.302719,18.517807,1000,45,1345494643,1345494643,1345494643,0
GSM,372,1,2400,10592,0,-72.298982,18.517278,1000,81,1345497648,1345497648,1345497648,0
GSM,372,1,2400,10591,0,-72.292877,18.516495,1000,30,1345497430,1345497430,1345497430,0
GSM,372,1,2400,10990,0,-72.291225,18.51627,1000,11,1344802458,1344802458,1344802458,0
GSM,372,1,2400,11140,0,-72.290359,18.514114,1000,15,1344802394,1344802394,1344802394,0
GSM,372,1,2400,11141,0,-72.289352,18.511963,1000,4,1344591705,1344591705,1344591705,0
